Subsystem	Name	Role	Module1	Module2	Module3	Phenotype
D-galactonate utilization HMP	DgoD	Galactonate dehydratase (EC 4.2.1.6)	Carbohydrate utilization	Galactonate utilization	Galactonate catabolism	Dgal
D-galactonate utilization HMP	DgoK	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	Carbohydrate utilization	Galactonate utilization	Galactonate catabolism	Dgal
D-galactonate utilization HMP	DgoA	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	Carbohydrate utilization	Galactonate utilization	Galactonate catabolism	Dgal
D-galactonate utilization HMP	DgoT	D-galactonate transporter	Carbohydrate utilization	Galactonate utilization	Galactonate uptake	Dgal
D-galactonate utilization HMP	DgoE	Predicted D-galactonate ABC transporter, substrate-binding component	Carbohydrate utilization	Galactonate utilization	Galactonate uptake	Dgal
D-galactonate utilization HMP	DgoF	Predicted D-galactonate ABC transporter, permease component 1	Carbohydrate utilization	Galactonate utilization	Galactonate uptake	Dgal
D-galactonate utilization HMP	DgoG	Predicted D-galactonate ABC transporter, permease component 2	Carbohydrate utilization	Galactonate utilization	Galactonate uptake	Dgal
D-galactonate utilization HMP	DgoR1	D-Galactonate repressor DgoR	Carbohydrate utilization	Galactonate utilization	Galactonate regulation	Dgal
D-galactonate utilization HMP	DgoR2	D-galactonate regulator, IclR family	Carbohydrate utilization	Galactonate utilization	Galactonate regulation	Dgal
D-galactonate utilization HMP	DgoT2	Uncharacterized MFS-type transporter from D-galactonate utilization operon	Carbohydrate utilization	Galactonate utilization	Galactonate uptake	Dgal
D-galactonate utilization HMP	DgoX	Uncharacterized dehydrogenase from D-galactonate utilization operon	Carbohydrate utilization	Galactonate utilization	Galactonate catabolism	Dgal
Allose utilization HMP	AlsK	D-allose kinase (EC 2.7.1.55)	Carbohydrate utilization	Allose utilization	Allose catabolism	All
Allose utilization HMP	AlsI	D-allose-6-phosphate isomerase (EC 5.3.1.-)	Carbohydrate utilization	Allose utilization	Allose catabolism	All
Allose utilization HMP	AlsE	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)	Carbohydrate utilization	Allose utilization	Allose catabolism	All
Allose utilization HMP	AlsA	D-allose ABC transporter, ATP-binding protein	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsB	D-allose ABC transporter, substrate-binding protein	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsC	D-allose ABC transporter, permease protein	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsGa	PTS system, D-allose/D-ribose-specific IIA component	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsGb	PTS system, D-allose/D-ribose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsGc	PTS system, D-allose/D-ribose-specific IIC component	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsG2a	PTS system, D-allose-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsG2b	PTS system, D-allose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsG2c	PTS system, D-allose-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Allose utilization	Allose uptake	All
Allose utilization HMP	AlsT	Allose utilization antiterminator, BglG family	Carbohydrate utilization	Allose utilization	Allose regulation	All
Allose utilization HMP	AlsR	Transcriptional regulator of D-allose utilization, RpiR family	Carbohydrate utilization	Allose utilization	Allose regulation	All
Allose utilization HMP	AlsR2	Transcriptional regulator of D-allose utilization, DeoR family	Carbohydrate utilization	Allose utilization	Allose regulation	All
Allose utilization HMP	AlsR3	Transcriptional regulator of D-allose utilization, LacI family	Carbohydrate utilization	Allose utilization	Allose regulation	All
Fructose-asparagine utilization HMP	FraA	N-(1-deoxy-D-fructos-1-yl)-L-aspartate transporter FraA	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine uptake	FruAsn
Fructose-asparagine utilization HMP	FraD	N-(1-deoxy-D-fructos-1-yl)-L-aspartate kinase FraD	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine catabolism	FruAsn
Fructose-asparagine utilization HMP	FraB	N-(1-deoxy-6-phospho-D-fructos-1-yl)-L-aspartate deglycase FraB	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine catabolism	FruAsn
Fructose-asparagine utilization HMP	FraR	Fructose-asparagine utilization regulator FraR, GntR family	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine regulation	FruAsn
Fructose-asparagine utilization HMP	FraE	N-(1-deoxy-D-fructos-1-yl)-L-asparaginase FraE	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine catabolism	FruAsn
Fructose-asparagine utilization HMP	FraC	Uncharacterized sugar epimerase related to fructoselysine 3-epimerase	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine catabolism	FruAsn
Fructose-asparagine utilization HMP	FraTd	PTS system, fructose-asparagine-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine uptake	FruAsn
Fructose-asparagine utilization HMP	FraTc	PTS system, fructose-asparagine-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine uptake	FruAsn
Fructose-asparagine utilization HMP	FraTb	PTS system, fructose-asparagine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine uptake	FruAsn
Fructose-asparagine utilization HMP	FraTa	PTS system, fructose-asparagine-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Fructose-asparagine utilization	Fructose-asparagine uptake	FruAsn
Fructoselysine and Glucoselysine utilization HMP	FrlB	Fructoselysine 6-phosphate deglycase (EC 3.5.-.-)	Carbohydrate utilization	Fructoselysine utilization; Psicoselysine utilization	Fructoselysine catabolism; Psicoselysine catabolism	FruLys; PsiLys
Fructoselysine and Glucoselysine utilization HMP	FrlD	Fructoselysine 6-kinase (EC 2.7.1.218)	Carbohydrate utilization	Fructoselysine utilization; Psicoselysine utilization	Fructoselysine catabolism; Psicoselysine catabolism	FruLys; PsiLys
Fructoselysine and Glucoselysine utilization HMP	FrlC	Fructoselysine 3-epimerase (EC 5.1.3.41)	Carbohydrate utilization	Fructoselysine utilization; Psicoselysine utilization	Fructoselysine catabolism; Psicoselysine catabolism	FruLys; PsiLys
Fructoselysine and Glucoselysine utilization HMP	FrlA	Fructoselysine/psicoselysine transporter FrlA	Carbohydrate utilization	Fructoselysine utilization; Psicoselysine utilization	Fructoselysine uptake; Psicoselysine uptake	FruLys; PsiLys
Fructoselysine and Glucoselysine utilization HMP	FrlT2	Predicted fructoselysine transporter, GltS family	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlT3	Predicted fructoselysine transporter, MATE family	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlT4	Predicted fructoselysine transporter, ArcD family	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	GfrF	Glucoselysine-6-phosphate deglycase	Carbohydrate utilization	Glucoselysine utilization	Glucoselysine catabolism	GlcLys
Fructoselysine and Glucoselysine utilization HMP	GfrD	PTS system, fructoselysine/glucoselysine-specific IID component	Carbohydrate utilization	Fructoselysine utilization; Glucoselysine utilization	Fructoselysine uptake; Glucoselysine uptake	FruLys; GlcLys
Fructoselysine and Glucoselysine utilization HMP	GfrB	PTS system, fructoselysine/glucoselysine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Fructoselysine utilization; Glucoselysine utilization	Fructoselysine uptake; Glucoselysine uptake	FruLys; GlcLys
Fructoselysine and Glucoselysine utilization HMP	GfrC	PTS system, fructoselysine/glucoselysine-specific IIC component	Carbohydrate utilization	Fructoselysine utilization; Glucoselysine utilization	Fructoselysine uptake; Glucoselysine uptake	FruLys; GlcLys
