subsystem	short_name	long_name
Alpha-galactosides utilization HMP	MelB	Melibiose carrier protein, Na+/melibiose symporter
Alpha-galactosides utilization HMP	RafP	Melibiose and raffinose family oligosaccharide symporter, GPH family
Alpha-galactosides utilization HMP	RafB	Raffinose family oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53)
Alpha-galactosides utilization HMP	RafC	Raffinose family oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)
Alpha-galactosides utilization HMP	RafD	Raffinose family oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)
Alpha-galactosides utilization HMP	RafE	Raffinose family oligosaccharide ABC transporter ATP-binding protein (TC 3.A.1.1.53)
Alpha-galactosides utilization HMP	RafA1	Alpha-1,6-galactosidase (GH36)
Alpha-galactosides utilization HMP	RafA2	Alpha-1,6/4/3-galactosidase (GH36)
Alpha-galactosides utilization HMP	MelR	Melibiose operon regulatory protein MelR, AraC family
Alpha-galactosides utilization HMP	AgaR	Predicted transcriptional regulator of galactosides utilization, AraC family
Alpha-galactosides utilization HMP	AgaR2	Predicted transcriptional regulator of galactosides utilization, LacI family
Alpha-galactosides utilization HMP	RafR	Transcriptional regulator of raffinose family oligosaccharide utilization (ROK family)
Alpha-galactosides utilization HMP	RafS	Two-component system sensor histidine kinase for alpha-galactosides utilization
Alpha-galactosides utilization HMP	RafQ	Two-component response regulator for alpha-galactosides utilization, AraC family
Alpha-galactosides utilization HMP	ScrP	Sucrose phosphorylase (EC 2.4.1.7)
Alpha-galactosides utilization HMP	BtGH97b	Alpha-1,6-galactosidase (GH97)
Alpha-galactosides utilization HMP	AgaL	Alpha-galactosidase (EC 3.2.1.22)
Arabinose and arabinosides utilization HMP	AraB	Ribulokinase (EC 2.7.1.16)
Arabinose and arabinosides utilization HMP	AraA	L-arabinose isomerase (EC 5.3.1.4)
Arabinose and arabinosides utilization HMP	AraI	Predicted L-arabinose isomerase (EC 5.3.1.4)
Arabinose and arabinosides utilization HMP	AraD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
Arabinose and arabinosides utilization HMP	AraM1	Predicted L-arabinose-specific mutarotase
Arabinose and arabinosides utilization HMP	AraM2	L-arabinose-specific 1-epimerase (mutarotase)
Arabinose and arabinosides utilization HMP	Abf_GH43	Exo-alpha-(1->5)-L-arabinofuranosidase (EC 3.2.1.55), GH43 family
Arabinose and arabinosides utilization HMP	Abf_GH51	Putative alpha-1,5-L-arabinofuranosidase (GH51)
Arabinose and arabinosides utilization HMP	Abf3_GH51	Exo-alpha-(1->2/1->3)-L-arabinofuranosidase (EC 3.2.1.55), GH51 family
Arabinose and arabinosides utilization HMP	AbfA1	alpha-L-arabinofuranosidase (EC 3.2.1.55)
Arabinose and arabinosides utilization HMP	AbfA2	alpha-L-arabinofuranosidase II (EC 3.2.1.55)
Arabinose and arabinosides utilization HMP	AbnA	Endo-alpha-(1->5)-L-arabinanase (EC 3.2.1.99), GH43 family
Arabinose and arabinosides utilization HMP	TTT	Putative galactose or arabinose proton symporter
Arabinose and arabinosides utilization HMP	AraE	Arabinose-proton symporter AraE (TC 2.A.1.1), SP family
Arabinose and arabinosides utilization HMP	AraF	L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)
Arabinose and arabinosides utilization HMP	AraG	L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)
Arabinose and arabinosides utilization HMP	AraH	L-arabinose transport system permease protein (TC 3.A.1.2.2)
Arabinose and arabinosides utilization HMP	AraW	Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein
Arabinose and arabinosides utilization HMP	AraY	Predicted L-arabinose ABC transport system, permease protein 1
Arabinose and arabinosides utilization HMP	AraX	Predicted L-arabinose ABC transport system, ATP-binding protein
Arabinose and arabinosides utilization HMP	AraZ	Predicted L-arabinose ABC transport system, permease protein 2
Arabinose and arabinosides utilization HMP	AraP_SSS	Sodium-dependent alpha-arabino-oligosaccharides transporter AraP (2.A.21), SSS family
