"Y","ArgA","ArgJ","ArgA3","ArgA4","ArgA5","ArgA2","ArgB","ArgC","ArgD","ArgF1","ArgF2","ArgF3","ArgE","ArgG","ArgH","ArgR","ArgW","ArtP","ArtI","ArtQ","ArtM","ArtX","ArtY","ArtZ","ArtI2","ArtQ2","ArtP2","ArtPQ"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0"
