"Y","AsnA","AsnB1","AsnB","AsnH","YisO","GatA","GatB","GatC","AspC","AspC1"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","0","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","1","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
"1","0","0","0","0","0","1","1","1","1","0"
