"Y","GlvA","GlvB","GlvC","GlvG","MalE","MalF","MalG","MalK","LamB","MalM","AglB","AglA","MalL","MalP","MalP2","GlgP","GlgX","MalQ","MalZ","Cga","NplT","CgtA","PulA","GH13_47","MalS","AmyAc","AmyA","SusC_mal","SusD_mal","SusB","SusE","SusF","MalT","MalR","SusR","AldM","Pgm","GlvR","MalR1","MalR2","MalR3","MalR4","Omp_mal","MalE3","MalF3","MalG3"
"1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1"
"1","0","0","0","0","1","1","1","1","0","0","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1"
"1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1"
