"id","Y","GltB","GltD","GltB2","GltD2","GlnA","GlnA3","GlnA4","GlnN","GlnA6","GatA","GatB","GatC","Gdh1","Gdh2","Gdh3"
"435830.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1655.46","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"1655.49","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"1115803.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"562973.4","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1655.52","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"544580.10","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"1655.82","1","1","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"525246.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"644284.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"887326.3","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"887899.3","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"548479.6","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"585199.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"871571.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"596328.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"866770.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1120942.4","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"411466.7","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"649742.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1660.4","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1276.4","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1276.5","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1118058.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1660.10","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1203556.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1654.11","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"883077.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1123488.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"184870.3","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"1403948.3","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0"
"1964383.25","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0"
"6666666.201645","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1680.5","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"367928.6","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1437612.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"411481.5","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"518635.5","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1683.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"911598.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1042403.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1075106.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"552531.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"555970.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"742729.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1168290.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"580050.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"442563.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"28025.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"500634.6","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"883062.5","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"702459.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"398513.5","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1681.51","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1385943.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1036735.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365961.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365962.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365967.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1385942.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365963.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1385941.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1074482.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365960.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1385940.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365968.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365966.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"326426.4","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1203540.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365965.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1385939.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"518634.7","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"1365964.3","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
"6666666.201646","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0"
